Target,Horizonte,Algoritmo,RMSE_teste_macro_empresa,MAE_teste_macro_empresa,SMAPE_teste_macro_empresa,R2_teste_macro_empresa,R2_teste_pooled,R2_teste_within,TheilU_teste_macro_empresa,DA_teste_macro_empresa,RMSE_teste_pooled,SMAPE_teste_pooled,RMSE_baseline,Bateu_baseline,TheilU_ok
TARGET_DRE_3.01_ITR_T1,_ITR_T1,Ridge,4092848.5744635384,3135843.2372748093,0.37261930693748707,-0.09290560765138278,0.8050899469248053,0.5080039652343951,0.7385823262809873,0.8,25985776.301778615,0.3886903486113359,13107786.294714466,True,True
TARGET_DRE_3.01_ITR_T1,_ITR_T1,SVR,15928267.587712357,13929934.514113689,1.0,-3.7728495478488187,-0.2529391931616938,-0.029306445353860955,1.4443690506805584,0.3333333333333333,65884548.32288677,1.0764302397594807,13107786.294714466,False,False
TARGET_DRE_3.01_ITR_T1,_ITR_T1,RandomForest,2349732.7549175196,2033217.1198404108,0.1872755315379261,0.7014313046675213,0.8363164833364678,0.6747764909283507,0.3047729568699016,0.8,23813380.380414706,0.20214719036521825,13107786.294714466,True,True
TARGET_DRE_3.01_ITR_T1,_ITR_T1,GradientBoosting,1543793.5487784923,1252135.617171837,0.09953125109602512,0.9366432470895503,0.96530057093994,0.9458134873493762,0.1667012702251328,0.8,10964270.465974191,0.11402726879993297,13107786.294714466,True,True
TARGET_DRE_3.01_ITR_T1,_ITR_T1,Ensemble,1649749.142737982,1323937.5110090675,0.129264975133742,0.842610544864804,0.9094314557129661,0.8344535340189865,0.23021241888080785,0.8,17713617.778897934,0.15079885210940996,13107786.294714466,True,True
TARGET_DRE_3.01_ITR_T2,_ITR_T2,Ridge,5292254.966922335,4605047.2921980675,0.28717320044738986,-0.16427368871783632,-0.34247414952468924,-4.029030983620508,0.6459573855928924,0.75,73375667.35995972,0.373224108979595,3136014.676101469,False,True
TARGET_DRE_3.01_ITR_T2,_ITR_T2,SVR,16337778.93360359,14600205.290047321,1.0,-5.144436007459236,-0.24925938223631539,-0.05487543344490464,1.350337834964705,0.4,70782420.24098206,1.0607245828663638,3136014.676101469,False,False
TARGET_DRE_3.01_ITR_T2,_ITR_T2,RandomForest,2749297.7822274645,2295254.27651521,0.14737356076019434,0.7901723939762724,0.9428369696944574,0.7732739092068606,0.2593197031402044,0.75,15141075.326122059,0.1626048389515885,3136014.676101469,True,True
TARGET_DRE_3.01_ITR_T2,_ITR_T2,GradientBoosting,2460724.5051961704,1819479.575097358,0.10868551975496388,0.8430911154910569,0.9716141297113411,0.8311292368282645,0.22323817951695965,0.75,10669650.784979805,0.13383278332859733,3136014.676101469,True,True
TARGET_DRE_3.01_ITR_T2,_ITR_T2,Ensemble,2487142.8801782303,2117443.931383011,0.11657433409660456,0.8675548998386806,0.9609847408080572,0.8084345670097982,0.22551938619974066,0.75,12508820.099079348,0.14176723264674937,3136014.676101469,True,True
